"demo_role","demo_gender","demo_age","demo_domain","demo_experience","demo_ai_know","fcf_attendFREQ","fcf_useFREQ","fcf_studyPlace","fcf_aePlace","fcf_techSAT","fcf_rmatSAT","fcf_cleanSAT","fcf_atmpSAT","fcf_techAGT","fcf_amentNOM","fcf_topics"
"1","1","2","8","1","14",6,9,1,1,4,4,5,5,4,2,1
"1","2","2","8","2","15",6,7,5,1,5,5,5,3,2,5,1
"1","1","2","8","1","15",9,9,1,5,3,4,5,5,5,4,2
"1","1","2","8","1","15",7,8,3,6,4,4,4,4,4,3,2
"1","2","2","8","4","15",7,9,3,4,5,4,5,5,4,3,2
"1","1","2","8","1","14",10,10,4,7,4,4,4,5,4,2,2
"1","2","2","8","2","14",6,9,3,1,5,4,5,5,4,3,3
"1","2","2","8","2","16",6,9,2,6,4,4,4,4,3,4,3
"1","2","2","8","1","14",6,9,2,6,3,3,5,5,3,4,2
"1","1","2","8","1","15",8,9,1,5,3,3,5,5,4,3,2
"1","2","3","8","1","14",7,6,3,6,2,4,3,4,5,4,3
"1","2","2","8","2","16",6,10,3,1,4,4,4,4,4,3,2
"1","2","2","8","1","14",7,7,1,6,4,4,5,4,4,3,2
"1","2","2","8","2","17",6,9,3,7,4,3,4,4,3,4,2
"1","2","2","8","1","15",7,7,2,6,4,4,4,5,4,2,2
